Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.187973772240759063e+00,9.046689517996296670e-02,6.700000000000000000e+01
1.059871865654201661e+00,9.843114254332693824e-02,6.850000000000000000e+01
1.086630066473835310e+00,9.364456035344691232e-02,6.050000000000000000e+01
1.206651917504576010e+00,8.783906360982143835e-02,6.550000000000000000e+01
1.313297724453213577e+00,9.388614312677590057e-02,6.900000000000000000e+01
1.200702829469513455e+00,8.545049048712567707e-02,7.000000000000000000e+01
1.321142097298984242e+00,9.099879594536425254e-02,6.900000000000000000e+01
1.257843847307825502e+00,9.053107928664062831e-02,6.650000000000000000e+01
1.249831538881752246e+00,8.951958802264661785e-02,6.850000000000000000e+01
1.232244222547886237e+00,8.755946769361662441e-02,7.100000000000000000e+01
1.337278997059751395e+00,8.955207854262343947e-02,6.950000000000000000e+01
1.349582086214595078e+00,9.191993561023550918e-02,6.450000000000000000e+01
1.277086190626404161e+00,9.289937982803067595e-02,6.850000000000000000e+01
1.248917024941382792e+00,8.824559039771309732e-02,6.800000000000000000e+01
1.225685686673112951e+00,8.275205487450146280e-02,7.200000000000000000e+01
1.312450411896347369e+00,8.161838212353300648e-02,7.050000000000000000e+01
1.270342305805601590e+00,8.545903734431749277e-02,7.050000000000000000e+01
1.245934615095692477e+00,8.558199529013708895e-02,7.300000000000000000e+01
1.342107421230988917e+00,8.931604145679632178e-02,6.900000000000000000e+01
1.341110114929714436e+00,9.177890643909288049e-02,6.950000000000000000e+01
1.253635720043946300e+00,9.244514813231649586e-02,6.800000000000000000e+01
1.414853025572847089e+00,8.842580937406828434e-02,6.850000000000000000e+01
1.165308945962404197e+00,9.387138235859143753e-02,6.650000000000000000e+01
1.379828918587729492e+00,8.878435548144046618e-02,7.050000000000000000e+01
1.280793205242925614e+00,8.655912028681110593e-02,6.750000000000000000e+01
1.269630214660552703e+00,8.407015745944496077e-02,6.800000000000000000e+01
1.198480079062596015e+00,8.874606127809635259e-02,7.050000000000000000e+01
1.257472270043291429e+00,8.960802195699502093e-02,7.000000000000000000e+01
1.052615041744445312e+00,8.462927307129435028e-02,6.900000000000000000e+01
1.162449041883501177e+00,8.705039479626024146e-02,6.950000000000000000e+01
1.285950929970795853e+00,8.543198926309532315e-02,7.250000000000000000e+01
1.334182054262142092e+00,8.653662473301715341e-02,6.800000000000000000e+01
1.266849523057000049e+00,9.744619159388170915e-02,6.700000000000000000e+01
1.325719638773121378e+00,8.569441233887285791e-02,7.100000000000000000e+01
1.175159561275360254e+00,9.093587727027725720e-02,7.200000000000000000e+01
1.266955058748922225e+00,8.433977778812964954e-02,6.850000000000000000e+01
1.347610810879939613e+00,9.162976014412341219e-02,6.900000000000000000e+01
1.271922569195022223e+00,8.018538114364029412e-02,7.200000000000000000e+01
1.320806836338402457e+00,8.227627814211775636e-02,7.050000000000000000e+01
1.200862730731151018e+00,9.478133832201879327e-02,6.400000000000000000e+01
1.354288485499525851e+00,8.347768267365072992e-02,7.200000000000000000e+01
1.224788467340299336e+00,9.498390206631454613e-02,6.750000000000000000e+01
1.270245732567734764e+00,8.988483188733879803e-02,7.300000000000000000e+01
1.424733311663361812e+00,9.351560408603075414e-02,7.400000000000000000e+01
1.235118465614135408e+00,8.719170777614874968e-02,7.000000000000000000e+01
1.410680447805131354e+00,9.162748987562786829e-02,7.250000000000000000e+01
1.362279882912299289e+00,8.575499912808610958e-02,6.700000000000000000e+01
1.285728023134976139e+00,9.692939297475024196e-02,6.950000000000000000e+01
1.287342501444750376e+00,8.466131929716871896e-02,6.900000000000000000e+01
1.161090056578550467e+00,8.244856316569830479e-02,6.950000000000000000e+01
1.353058209441682536e+00,8.523405081809780348e-02,7.400000000000000000e+01
1.167520089228091473e+00,9.440411240448473573e-02,6.900000000000000000e+01
1.237130992795594242e+00,8.790460910432777719e-02,7.150000000000000000e+01
1.194869824207107412e+00,9.275397014950606533e-02,6.850000000000000000e+01
1.256977368786684757e+00,8.895951591641841627e-02,7.200000000000000000e+01
1.215120336205611551e+00,9.555813406627765294e-02,7.350000000000000000e+01
1.276911417999104126e+00,9.042612511068719161e-02,7.050000000000000000e+01
1.250366188199513617e+00,9.100285508592378947e-02,7.150000000000000000e+01
1.244253004605301305e+00,8.444518592922484190e-02,7.050000000000000000e+01
1.184216152112289144e+00,8.262341295345491943e-02,7.050000000000000000e+01
1.166271950036011251e+00,8.679116867902478272e-02,6.900000000000000000e+01
1.321095904878117455e+00,8.922491312428527943e-02,7.100000000000000000e+01
1.409931584860139475e+00,8.555371320619299669e-02,7.350000000000000000e+01
1.378734492262920330e+00,8.984394985380809995e-02,7.350000000000000000e+01
1.330451533348898430e+00,8.826858233320240832e-02,7.050000000000000000e+01
1.297736876653896809e+00,8.827126837361951028e-02,7.350000000000000000e+01
1.319616068304582335e+00,8.777392875088449453e-02,7.100000000000000000e+01
1.288679754419407519e+00,8.946154452086839404e-02,7.250000000000000000e+01
1.399849830349505719e+00,8.755816402220953365e-02,7.350000000000000000e+01
1.235352962855281511e+00,8.546841267917731910e-02,6.950000000000000000e+01
1.252551273710916346e+00,9.532327202030821400e-02,7.000000000000000000e+01
1.295632965077977872e+00,9.201354791602524286e-02,7.100000000000000000e+01
1.361636803600225099e+00,8.595390168217729998e-02,7.100000000000000000e+01
1.277467168773270378e+00,8.094503681117327931e-02,7.050000000000000000e+01
1.434999606575142916e+00,9.543963338529415363e-02,7.150000000000000000e+01
1.130847627928248000e+00,8.854166411611692766e-02,6.650000000000000000e+01
1.226722373960846157e+00,8.755997165132543836e-02,6.550000000000000000e+01
1.200546717191306900e+00,8.862442606234226250e-02,7.100000000000000000e+01
1.122752724822166703e+00,8.934637717265354884e-02,7.050000000000000000e+01
1.388760243938907069e+00,8.943657286422818098e-02,7.250000000000000000e+01
1.102604770334200790e+00,8.551001217735397508e-02,6.550000000000000000e+01
1.228593655284883512e+00,9.135705329468955804e-02,6.850000000000000000e+01
1.195290515181498980e+00,9.247256640662655791e-02,6.900000000000000000e+01
1.249373824984311376e+00,9.017425230631383182e-02,7.400000000000000000e+01
1.264246435290720338e+00,9.337802265045538896e-02,7.150000000000000000e+01
1.033176045764692130e+00,9.261255215264942164e-02,6.800000000000000000e+01
1.253546050012875446e+00,8.866288199625478594e-02,7.350000000000000000e+01
1.230589518122344073e+00,9.439583905242021622e-02,6.650000000000000000e+01
1.381819950751303150e+00,8.182820474947322120e-02,7.150000000000000000e+01
1.178305327374989941e+00,8.204455260162850372e-02,6.800000000000000000e+01
1.313544547885396652e+00,8.262224065466640399e-02,7.050000000000000000e+01
1.077361210183208406e+00,8.182087397124114536e-02,6.950000000000000000e+01
1.244744715797638346e+00,1.050774576604436433e-01,7.000000000000000000e+01
1.201275726875557393e+00,9.093048135391183784e-02,7.400000000000000000e+01
1.191478846088019461e+00,8.774543904767455327e-02,7.000000000000000000e+01
1.240923829130443856e+00,9.521050950297565985e-02,6.800000000000000000e+01
1.424910064901967477e+00,8.980099614666403607e-02,7.400000000000000000e+01
1.273633129178900925e+00,8.866572830864709320e-02,6.800000000000000000e+01
1.257468957834488643e+00,9.641945996114535677e-02,7.100000000000000000e+01
1.348225732800876431e+00,8.805807820383183826e-02,7.150000000000000000e+01
1.290267532286675234e+00,8.098839099114088502e-02,7.450000000000000000e+01
1.303816328392543022e+00,8.855273191259974142e-02,7.000000000000000000e+01
1.277383703584504815e+00,8.824413533904204576e-02,7.150000000000000000e+01
1.381085999343984350e+00,8.467381438514889891e-02,7.250000000000000000e+01
1.294194428241137951e+00,8.274070020429855066e-02,7.250000000000000000e+01
1.335141522539372794e+00,8.645814140340991882e-02,7.250000000000000000e+01
1.359080270723420414e+00,8.248815009146444333e-02,7.400000000000000000e+01
1.345186286372733298e+00,8.373559320081558344e-02,7.150000000000000000e+01
1.346204711682200017e+00,8.598435313832099303e-02,7.450000000000000000e+01
1.287522240302083398e+00,8.373778582586359487e-02,7.200000000000000000e+01
1.383070316004074929e+00,8.996506008913730812e-02,7.100000000000000000e+01
1.312804078498381211e+00,8.724185651762898785e-02,7.150000000000000000e+01
1.118932632629878521e+00,8.955645394035238738e-02,7.150000000000000000e+01
1.457035209490586292e+00,9.277494855320214673e-02,7.450000000000000000e+01
1.276509859069716368e+00,8.333698853751787816e-02,7.350000000000000000e+01
1.368878288530980036e+00,8.734295833880732773e-02,7.300000000000000000e+01
1.200920094823467732e+00,9.675243850049958239e-02,7.200000000000000000e+01
1.300225425198748841e+00,8.142292007876764104e-02,7.500000000000000000e+01
1.379274303499118171e+00,9.546732926374622286e-02,7.400000000000000000e+01
1.258487548610321305e+00,8.989467581103213756e-02,7.200000000000000000e+01
1.359282982337395751e+00,8.666213013506417207e-02,7.500000000000000000e+01
1.213234722782793318e+00,1.003489254094740990e-01,7.250000000000000000e+01
1.129883159878071641e+00,9.184553278364508688e-02,6.850000000000000000e+01
1.226721677120403031e+00,9.272579216706140770e-02,6.950000000000000000e+01
1.178376001995108613e+00,9.037513287099745163e-02,7.200000000000000000e+01
